codgeo;libgeo;an;p_pop
01398;Savigneux;2021;1449
01399;Ségny;2021;2412
01400;Seillonnaz;2021;137
01401;Sergy;2021;2218
01402;Sermoyer;2021;648
01403;Serrières-de-Briord;2021;1312
01404;Serrières-sur-Ain;2021;134
01405;Servas;2021;1270
01406;Servignat;2021;175
01407;Seyssel;2021;1001
01408;Simandre-sur-Suran;2021;656
01410;Sonthonnax-la-Montagne;2021;292
01411;Souclin;2021;267
01412;Sulignat;2021;608
01415;Talissieu;2021;519
01416;Tenay;2021;1013
01418;Thil;2021;1156
01419;Thoiry;2021;6136
01420;Thoissey;2021;1655
01421;Torcieu;2021;744
01422;Tossiat;2021;1352
01423;Toussieux;2021;1198
01424;Tramoyes;2021;1843
01425;La Tranclière;2021;286
01426;Val-Revermont;2021;2500
01427;Trévoux;2021;6947
01428;Valeins;2021;131
01429;Vandeins;2021;717
01430;Varambon;2021;654
01431;Vaux-en-Bugey;2021;1234
01432;Verjon;2021;339
01433;Vernoux;2021;301
01434;Versailleux;2021;494
01435;Versonnex;2021;2137
01436;Vesancy;2021;502
01437;Vescours;2021;219
01439;Vésines;2021;98
01441;Vieu-d'Izenave;2021;735
01443;Villars-les-Dombes;2021;4954
01444;Villebois;2021;1197
01445;Villemotier;2021;617
01446;Villeneuve;2021;1569
01447;Villereversure;2021;1353
01448;Villes;2021;400
01449;Villette-sur-Ain;2021;762
01450;Villieu-Loyes-Mollon;2021;3793
01451;Viriat;2021;6808
01452;Virieu-le-Grand;2021;1118
01453;Arvière-en-Valromey;2021;713
01454;Virignin;2021;1127
01456;Vongnes;2021;71
01457;Vonnas;2021;3216
02001;Abbécourt;2021;507
02002;Achery;2021;594
02003;Acy;2021;1016
02004;Agnicourt-et-Séchelles;2021;186
02005;Aguilcourt;2021;393
02006;Aisonville-et-Bernoville;2021;259
02007;Aizelles;2021;120
02008;Aizy-Jouy;2021;303
02009;Alaincourt;2021;527
02010;Allemant;2021;169
02011;Ambleny;2021;1181
02012;Ambrief;2021;78
02013;Amifontaine;2021;387
02014;Amigny-Rouy;2021;716
02015;Ancienville;2021;76
02016;Andelain;2021;212
02017;Anguilcourt-le-Sart;2021;295
02018;Anizy-le-Grand;2021;2549
02019;Annois;2021;355
02020;Any-Martin-Rieux;2021;455
02021;Archon;2021;79
02022;Arcy-Sainte-Restitue;2021;399
02023;Armentières-sur-Ourcq;2021;99
02024;Arrancy;2021;47
02025;Artemps;2021;365
02027;Assis-sur-Serre;2021;206
02028;Athies-sous-Laon;2021;2601
02029;Attilly;2021;348
02030;Aubencheul-aux-Bois;2021;248
02031;Aubenton;2021;660
02032;Aubigny-aux-Kaisnes;2021;247
02033;Aubigny-en-Laonnois;2021;101
02034;Audignicourt;2021;116
02035;Audigny;2021;281
02036;Augy;2021;70
02037;Aulnois-sous-Laon;2021;1369
02038;Les Autels;2021;62
02039;Autremencourt;2021;175
02040;Autreppes;2021;176
02041;Autreville;2021;805
02042;Azy-sur-Marne;2021;375
02043;Bagneux;2021;63
02044;Bancigny;2021;25
02046;Barenton-Bugny;2021;557
02047;Barenton-Cel;2021;108
02048;Barenton-sur-Serre;2021;130
02049;Barisis-aux-Bois;2021;739
02050;Barzy-en-Thiérache;2021;319
02051;Barzy-sur-Marne;2021;392
02052;Bassoles-Aulers;2021;129
02053;Vallées en Champagne;2021;581
02054;Bazoches-et-Saint-Thibaut;2021;524
02055;Beaumé;2021;86
02056;Beaumont-en-Beine;2021;176
02057;Beaurevoir;2021;1368
02058;Beaurieux;2021;832
02059;Beautor;2021;2672
02060;Beauvois-en-Vermandois;2021;252
02061;Becquigny;2021;258
02062;Belleau;2021;134
02063;Bellenglise;2021;380
02064;Belleu;2021;3693
02065;Bellicourt;2021;574
02066;Benay;2021;191
02067;Bergues-sur-Sambre;2021;208
02068;Berlancourt;2021;83
02069;Berlise;2021;105
02070;Bernot;2021;438
02071;Berny-Rivière;2021;641
02072;Berrieux;2021;180
02073;Berry-au-Bac;2021;703
02074;Bertaucourt-Epourdon;2021;587
02075;Berthenicourt;2021;193
02076;Bertricourt;2021;149
02078;Besmé;2021;167
02079;Besmont;2021;142
02080;Besny-et-Loizy;2021;322
02081;Béthancourt-en-Vaux;2021;428
02082;Beugneux;2021;113
02083;Beuvardes;2021;746
02084;Bézu-le-Guéry;2021;252
02085;Bézu-Saint-Germain;2021;991
02086;Bichancourt;2021;996
02087;Bieuxy;2021;34
02088;Bièvres;2021;84
02089;Billy-sur-Aisne;2021;1151
02090;Billy-sur-Ourcq;2021;199
02091;Blanzy-lès-Fismes;2021;92
02093;Blérancourt;2021;1261
02094;Blesmes;2021;471
02095;Bohain-en-Vermandois;2021;5721
02096;Bois-lès-Pargny;2021;191
02097;Boncourt;2021;265
02098;Bonneil;2021;377
02099;Bonnesvalyn;2021;211
02100;Bony;2021;139
02101;Bosmont-sur-Serre;2021;178
02102;Bouconville-Vauclair;2021;186
02103;Boué;2021;1324
02104;Bouffignereux;2021;96
02105;Bouresches;2021;190
02106;Bourg-et-Comin;2021;810
02107;Bourguignon-sous-Coucy;2021;104
02108;Bourguignon-sous-Montbavin;2021;152
02109;La Bouteille;2021;472
02110;Braine;2021;2237
02111;Brancourt-en-Laonnois;2021;718
02112;Brancourt-le-Grand;2021;556
02114;Brasles;2021;1635
02115;Braye-en-Laonnois;2021;183
